num_layers,neurons,batch_size,epochs,learning_rate,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2
1,16,32,100,1e-05,56856.4314655094,58216.80820851103,57681.60595789558,0.7559148154453912,0.7533633274584917,0.7564924989000039
1,16,32,100,0.0001,57467.404489276734,59150.30484273209,58204.73770086767,0.7506408042600456,0.7453903589491969,0.7520555851036755
1,16,32,100,0.001,56773.44169253991,57543.89622246842,57855.676227117634,0.756626847133039,0.7590319859703932,0.7550205782254406
1,16,32,100,0.01,56341.1951151819,57474.40385675151,57061.16664658028,0.7603185997519306,0.7596136402280178,0.7617027937904668
1,16,64,10,1e-05,69713.72570034221,71021.49134269408,70270.40553662037,0.6330399302092824,0.632937138917133,0.6386046361614217
1,16,64,10,0.0001,72275.23542569132,73285.94575420168,73121.11215296372,0.6055778890388164,0.609157066889791,0.6086879392026472
1,16,64,10,0.001,68114.68797067874,68263.79499416561,68163.85720639465,0.6496809406076047,0.6608891175492874,0.659947499168176
1,16,64,10,0.01,68498.07418850431,69234.24496849456,68839.43782800862,0.6457262729503487,0.6511788648871736,0.6531734888586289
1,16,64,20,1e-05,66447.30529910594,66952.50682676965,66291.06294229391,0.6666219747839406,0.673792039383099,0.6783766119061356
1,16,64,20,0.0001,66421.4518870905,67272.68947564987,67105.14317131783,0.6668813467077688,0.6706645725602345,0.6704287860512677
1,16,64,20,0.001,68661.98217210588,69185.06339457493,68697.98011501775,0.6440287721580351,0.6516742694110846,0.6545974074366783
1,16,64,20,0.01,67518.921093137,68033.97719190492,67227.95871085559,0.6557822900005144,0.66316858447279,0.6692213225255665
1,16,64,50,1e-05,60103.720694253956,60996.65204803483,60782.6388610551,0.7272373265855108,0.7292472559034232,0.7296061814763327
1,16,64,50,0.0001,61616.06277650059,62205.36500976959,62321.56865926554,0.7133380105051803,0.7184104357056273,0.7157408785370106
1,16,64,50,0.001,59551.53504809324,60751.20750364512,60067.329386919846,0.732226161300987,0.7314218368984264,0.7359328950746706
1,16,64,50,0.01,62139.713974907,63093.24828022926,62658.125440808086,0.7084448461289952,0.7103145753609008,0.7126624047469093
1,16,64,100,1e-05,61486.52445004685,62909.74379378383,61588.761581529456,0.7145420692760437,0.7119972045361614,0.7223864881677198
1,16,64,100,0.0001,57408.258719131336,57902.324132844835,58638.414474789344,0.7511538238462128,0.7560207665026593,0.7483470099399754
1,16,64,100,0.001,58316.53383806961,59509.61517472961,58674.07924987953,0.7432173781046656,0.742287695803368,0.7480407984988173
